Loan_ID,Lender,Loan_Amount,Interest_Rate,Repayment_Term,Default_Risk,Loan_Purpose,Approval_Time,Application_Date
01a45109-bfd4-4597-9ceb-93cc2f9e269a,M-Shwari,27785,27.76,30,High,Education,7,2023-07-20
c9f66d0d-2188-4b33-a5cc-e45aff642100,Tala,27400,11.98,45,High,Emergency,26,2024-09-05
f78af101-6517-4cfc-a1c6-f4d8885023be,KCB M-Pesa,2105,28.81,30,High,Emergency,26,2025-01-13
09a12753-debf-4c1d-840d-529726edf882,Tala,6122,7.53,30,Low,Education,24,2024-09-01
a32dae92-f417-407b-9481-33b357ad2688,Tala,7267,6.07,45,High,Personal,12,2023-12-11
cba5f7ab-bc25-4058-a856-24e8d40a54ad,Timiza,27639,14.02,60,High,Medical,16,2023-10-17
3ce8064d-365a-4391-b5f5-93a029b39e09,KCB M-Pesa,12113,21.19,14,Low,Education,23,2023-08-28
007f0522-26c2-401f-95f7-432fa3ba9b10,KCB M-Pesa,11089,35.39,14,High,Business,40,2023-04-23
a237c68a-8218-40e6-8900-d83b22980287,KCB M-Pesa,14418,30.45,30,Low,Personal,9,2023-06-30
77b64e61-6323-4b5d-a66a-ccce409c09c3,Tala,20619,30.99,90,Low,Emergency,32,2023-06-25
d8a987e4-7081-437b-ac44-310d91c08a12,M-Shwari,27946,19.89,45,High,Education,15,2023-05-06
7a021b35-d203-403c-9375-02ebd5357992,KCB M-Pesa,13546,17.11,45,Low,Emergency,37,2023-05-28
ca3c785b-e10e-48b9-8012-50e1635ab693,Branch,25318,17.99,30,Low,Personal,13,2023-05-25
f0962e61-c655-4645-ad86-d9c5b7a6355b,Tala,35858,39.57,45,Low,Emergency,5,2023-11-05
4f9227a4-d035-4a3e-bd69-35b28392d490,Timiza,4824,6.4,14,Low,Education,11,2024-01-12
1da686a3-47df-4508-bc49-4582e6a843c1,M-Shwari,11287,35.35,45,Low,Personal,10,2024-02-15
4111ebee-2b73-4e1b-81ce-317862f0c734,Branch,9611,25.25,90,Low,Business,52,2024-03-11
f5900086-5d65-4069-b94a-6707f8b46d5c,Branch,38610,20.35,45,High,Education,13,2024-02-24
3896c884-2229-4c58-99ec-e02097039719,Timiza,16889,30.38,60,Low,Medical,41,2024-06-30
e0011901-5e71-49fe-bd83-efb116049552,M-Shwari,41927,22.03,60,Low,Education,53,2024-12-01
7a590e29-64f6-4507-b8b3-e21c5ff223b3,Tala,14543,35.57,30,Low,Personal,46,2024-05-18
14023dc6-d312-4471-ace6-f63f730c48c1,Fuliza,29246,36.52,90,High,Education,50,2025-02-09
041ef5f0-41dc-40b8-ac87-40dee3c4b44a,M-Shwari,22850,19.76,14,Low,Business,15,2024-10-16
549d4cfa-05eb-4177-aef3-a37a3840a3eb,Timiza,42105,14.69,45,High,Business,42,2023-05-28
bc5063aa-bc3c-4da1-bc19-045295ccedbb,Branch,617,25.73,30,High,Medical,56,2025-03-03
